number	type	direction	stop|London|0|1	stop|Finsbury Park|300|1	stop|Potters Bar|1240|1	stop|Hatfield|1870|1	stop|Welwyn GC|2160|1	stop|Welwyn North|2380|2	stop|Knebworth|2680|2	stop|Stevenage|2970|2	stop|Hitchin|3370|2	stop|Letchword GC|3580|2	stop|Baldock|3790|2	stop|Ashwell & Morden|4040|2	stop|Roysten|4730|2	stop|Meldreth|5180|2	stop|Shepreth|5370|3	stop|Foxton|5550|3	stop| Cambridge|6290|3	stop|California Ave|6490|3	stop|San Antonio|6760|3	stop|Mountain View|7020|3	stop|Sunnyvale|7310|3	stop|Lawrence|7570|4	stop|Santa Clara|8050|4	stop|College Park|8330|4	stop|San Jose|8620|4	stop|Tamien|9060|4	stop|Capitol|9390|5	stop|Blossom Hill|9660|5	stop|Morgan Hill|9970|6	stop|San Martin|10210|6	stop|Gilroy|10530|6
256	L	S	2:37pm	-	-	-	2:51pm	2:55pm	-	2:59pm	3:02pm	-	3:06pm	3:09pm	3:12pm	3:17pm	-	3:22pm	3:25pm	3:29pm	3:33pm	3:37pm	3:42pm	3:46pm	3:51pm	-	4:00pm	4:07pm	X	X	X	X	X
158	N	S	3:07pm	3:12pm	3:17pm	3:23pm	3:27pm	3:31pm	-	3:35pm	3:38pm	3:41pm	3:44pm	3:47pm	3:50pm	3:55pm	-	4:00pm	4:03pm	4:07pm	4:11pm	4:15pm	4:20pm	4:24pm	4:29pm	4:32pm	4:39pm	4:45pm	4:52pm	4:58pm	5:11pm	5:17pm	5:30pm
260	L	S	3:37pm	-	-	-	3:51pm	3:55pm	-	3:59pm	4:02pm	-	4:06pm	4:09pm	4:12pm	4:17pm	-	4:22pm	4:25pm	4:29pm	4:33pm	4:37pm	4:42pm	4:46pm	4:51pm	-	5:00pm	5:07pm	X	X	X	X	X
362	B	S	4:09pm	-	-	-	-	4:25pm	-	-	-	-	4:33pm	-	-	-	-	-	4:44pm	-	-	4:51pm	-	-	-	-	5:06pm	X	X	X	X	X	X
264	L	S	4:19pm	-	-	-	4:33pm	-	-	4:38pm	4:42pm	-	4:47pm	-	4:51pm	-	-	-	5:01pm	5:05pm	-	5:11pm	5:16pm	-	-	-	5:27pm	X	X	X	X	X	X
266	L	S	4:27pm	4:32pm	4:40pm	4:48pm	4:52pm	4:56pm	-	5:00pm	5:04pm	5:07pm	5:11pm	5:14pm	5:18pm	i5:22pm	-	i5:28pm	-	-	-	5:36pm	-	-	5:47pm	-	5:55pm	X	X	X	X	X	X
368	B	S	4:33pm	-	-	-	-	4:49pm	-	-	4:57pm	-	-	-	-	5:06pm	-	-	5:12pm	-	-	-	5:21pm	-	-	-	5:32pm	5:39pm	X	X	X	X	X
270	L	S	4:56pm	-	-	5:08pm	-	5:14pm	-	-	-	-	5:22pm	-	-	i5:28pm	-	i5:34pm	5:38pm	5:42pm	5:46pm	5:50pm	5:55pm	6:01pm	6:08pm	-	6:16pm	6:22pm	6:29pm	6:35pm	6:48pm	6:54pm	7:07pm
372	B	S	5:14pm	-	-	-	-	5:30pm	-	-	-	-	5:38pm	-	-	-	-	-	5:49pm	-	-	5:56pm	-	-	-	-	6:11pm	X	X	X	X	X	X
274	L	S	5:20pm	-	-	-	5:34pm	-	-	5:39pm	5:43pm	-	5:48pm	-	5:52pm	-	-	-	6:02pm	6:06pm	-	6:12pm	6:17pm	-	-	-	6:28pm	X	X	X	X	X	X
276	L	S	5:27pm	5:32pm	5:40pm	5:48pm	5:52pm	5:56pm	-	6:00pm	6:04pm	6:07pm	6:11pm	6:14pm	6:18pm	i6:22pm	-	i6:28pm	-	-	-	6:36pm	-	6:43pm	6:48pm	-	6:56pm	7:02pm	7:09pm	7:15pm	7:28pm	7:34pm	7:47pm
378	B	S	5:33pm	-	-	-	-	5:49pm	-	-	5:57pm	-	-	-	-	6:06pm	-	-	6:12pm	-	-	-	6:21pm	-	-	-	6:32pm	6:39pm	X	X	X	X	X
280	L	S	5:56pm	-	-	6:08pm	-	6:14pm	-	-	-	-	6:22pm	-	-	i6:28pm	-	i6:34pm	6:38pm	6:42pm	6:46pm	6:50pm	6:55pm	7:01pm	7:08pm	-	7:16pm	7:23pm	X	X	X	X	X
382	B	S	6:14pm	-	-	-	-	6:30pm	-	-	-	-	6:38pm	-	-	-	-	-	6:49pm	-	-	6:56pm	-	-	-	-	7:11pm	X	X	X	X	X	X
284	L	S	6:27pm	6:32pm	6:40pm	6:48pm	6:52pm	6:56pm	-	7:00pm	7:04pm	7:07pm	7:11pm	7:14pm	7:18pm	i7:22pm	-	i7:28pm	-	-	-	7:36pm	-	-	7:47pm	-	7:55pm	X	X	X	X	X	X
386	B	S	6:33pm	-	-	-	-	6:49pm	-	-	6:57pm	-	-	-	-	7:06pm	-	-	7:12pm	-	-	-	7:21pm	-	-	-	7:32pm	7:39pm	X	X	X	X	X
288	L	S	6:56pm	-	-	7:08pm	-	7:14pm	-	-	-	-	7:22pm	-	-	i7:28pm	-	i7:34pm	7:38pm	7:42pm	7:46pm	7:50pm	7:55pm	7:59pm	8:04pm	-	8:12pm	8:19pm	X	X	X	X	X
190	N	S	7:30pm	7:35pm	7:40pm	7:46pm	7:50pm	7:54pm	-	7:58pm	8:01pm	8:04pm	8:07pm	8:10pm	8:13pm	8:18pm	-	8:23pm	8:26pm	8:30pm	8:34pm	8:38pm	8:43pm	8:47pm	8:52pm	-	9:01pm	X	X	X	X	X	X
192	N	S	8:40pm	8:45pm	8:50pm	8:56pm	9:00pm	9:04pm	-	9:08pm	9:11pm	9:14pm	9:17pm	9:20pm	9:23pm	9:28pm	-	9:33pm	9:36pm	9:40pm	9:44pm	9:48pm	9:53pm	9:57pm	10:02pm	-	10:11pm	10:18pm	X	X	X	X	X
194	N	S	9:40pm	9:45pm	9:50pm	9:56pm	10:00pm	10:04pm	-	10:08pm	10:11pm	10:14pm	10:17pm	10:20pm	10:23pm	10:28pm	-	10:33pm	10:36pm	10:40pm	10:44pm	10:48pm	10:53pm	10:57pm	11:02pm	-	11:11pm	11:18pm	X	X	X	X	X
196	N	S	10:40pm	10:45pm	10:50pm	10:56pm	11:00pm	11:04pm	-	11:08pm	11:11pm	11:14pm	11:17pm	11:20pm	11:23pm	11:28pm	-	11:33pm	11:36pm	11:40pm	11:44pm	11:48pm	11:53pm	11:57pm	12:02am	-	12:11am	X	X	X	X	X	X
198	N	S	12:01am	12:06am	12:11am	12:17am	12:21am	12:25am	-	12:29am	12:32am	12:35am	12:38am	12:41am	12:44am	12:49am	-	12:54am	12:57am	1:01am	1:05am	1:09am	1:14am	1:18am	1:23am	-	1:32am	X	X	X	X	X	X
422	W	S	8:15am	8:20am	8:25am	8:31am	8:35am	8:39am	8:43am	8:45am	8:49am	8:52am	8:55am	8:58am	9:01am	9:07am	9:11am	9:14am	9:17am	9:21am	9:25am	9:29am	9:34am	9:38am	9:43am	-	9:51am	X	X	X	X	X	X
424	W	S	9:15am	9:20am	9:25am	9:31am	9:35am	9:39am	9:43am	9:45am	9:49am	9:52am	9:55am	9:58am	10:01am	10:07am	10:11am	10:14am	10:17am	10:21am	10:25am	10:29am	10:34am	10:38am	10:43am	-	10:51am	X	X	X	X	X	X
